gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap.1,gap.2,gap.3,gap.4,gap.5,gap.6,gap.7
,1.0,,,10.0,,,,6.0,11.0,,,25.0,4,18.0,15.0,,1.0,,,10.0,,,
,3.0,,,3.0,,,,3.0,,,,5.0,15,,3.0,,3.0,,,3.0,,,
,4.0,,,2.0,,,,1.0,,,,1.0,1,,15.0,,4.0,,,2.0,,,
,13.0,,,9.0,,,,,,,,3.0,1,,,,13.0,,,9.0,,,
,7.0,,,6.0,,,,,,,,,1,,,,7.0,,,6.0,,,
,4.0,,,2.0,,,,,,,,,8,,,,4.0,,,2.0,,,
,4.0,,,7.0,,,,,,,,,1,,,,4.0,,,7.0,,,
,17.0,,,8.0,,,,,,,,,19,,,,17.0,,,8.0,,,
,36.0,,,,,,,,,,,,2,,,,36.0,,,,,,
,4.0,,,,,,,,,,,,5,,,,4.0,,,,,,
,,,,,,,,,,,,,10,,,,,,,,,,
,,,,,,,,,,,,,4,,,,,,,,,,
,,,,,,,,,,,,,10,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,6,,,,,,,,,,
,,,,,,,,,,,,,10,,,,,,,,,,
,,,,,,,,,,,,,7,,,,,,,,,,
